ID,Teks Asli,ID_AN,NoAg,Type,Teks_Hasil_Augmentasi,Verifikasi
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag1,Ag 1,Interogatif,Seberapa sering Anda kurang berminat atau kurang bergairah dalam melakukan berbagai hal?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag2,Ag 2,Interogatif,Apakah Anda merasakan penurunan minat atau kegembiraan dalam aktivitas sehari-hari?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag3,Ag 3,Interogatif,"Dalam beberapa waktu terakhir, seberapa sering Anda kehilangan minat atau antusiasme terhadap kegiatan yang biasanya Anda nikmati?",
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag4,Ag 4,Interogatif,Seberapa sering Anda merasa tidak tertarik atau tidak bersemangat untuk melakukan sesuatu?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag5,Ag 5,Interogatif,Pernahkah Anda merasa kurangnya gairah atau kesenangan dalam menjalankan rutinitas harian?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag6,Ag 6,Interogatif,Seberapa sering Anda mendapati diri Anda tidak termotivasi atau tidak bersemangat untuk melakukan apapun?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag7,Ag 7,Interogatif,Apakah Anda mengalami kehilangan minat atau kesenangan dalam melakukan aktivitas yang biasa Anda sukai?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag8,Ag 8,Interogatif,Seberapa sering Anda merasa hampa atau kurangnya ketertarikan pada hal-hal di sekitar Anda?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag9,Ag 9,Interogatif,"Dalam periode waktu ini, apakah Anda merasa kurangnya keinginan atau dorongan untuk melakukan kegiatan apapun?",
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag10,Ag 10,Interogatif,"Seberapa sering Anda merasa bosan atau tidak antusias, bahkan terhadap hal-hal yang sebelumnya menarik bagi Anda?",
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag1,Ag 1,Interogatif,Seberapa sering Anda mengalami kurangnya ketertarikan atau gairah untuk melakukan aktivitas apapun selama dua minggu terakhir?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag2,Ag 2,Interogatif,"Dalam dua minggu terakhir, apakah Anda merasa tidak berminat atau tidak bersemangat menjalankan kegiatan apa pun?",
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag3,Ag 3,Interogatif,Apakah selama dua minggu terakhir Anda sering kali tidak tertarik atau kehilangan semangat untuk melakukan aktivitas apapun?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag4,Ag 4,Interogatif,Seberapa kerap Anda merasa tidak memiliki minat maupun antusiasme untuk melakukan hal apapun dalam jangka dua minggu terakhir?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag5,Ag 5,Interogatif,"Selama dua minggu terakhir, seberapa sering Anda merasa kehilangan ketertarikan atau semangat untuk melakukan aktivitas apapun?",
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag6,Ag 6,Interogatif,"Dalam dua minggu terakhir, apakah Anda kerap merasa tidak berminat serta tidak bersemangat melakukan kegiatan apa pun?",
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag7,Ag 7,Interogatif,Apakah Anda merasa jarang tertarik atau bersemangat melakukan hal apapun selama dua minggu terakhir?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag8,Ag 8,Interogatif,Seberapa sering dalam dua minggu terakhir Anda mengalami bahwa Anda kurang antusias atau tidak berminat dalam melakukan kegiatan apapun?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag9,Ag 9,Interogatif,"Selama dua minggu terakhir, apakah Anda sering kehilangan minat atau semangat dalam melakukan aktivitas apapun?",
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag10,Ag 10,Interogatif,"Dalam dua minggu terakhir, seberapa sering Anda merasa tidak berminat maupun kehilangan gairah untuk melakukan kegiatan apa pun?",
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag1,Ag 1,Interogatif,Seberapa sering Anda merasa kurang tertarik atau antusias dalam melakukan berbagai hal?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag2,Ag 2,Interogatif,Apakah Anda mengalami penurunan minat atau kegembiraan dalam aktivitas sehari-hari?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag3,Ag 3,Interogatif,Dalam frekuensi apa Anda kehilangan minat atau kesenangan saat melakukan sesuatu?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag4,Ag 4,Interogatif,Pernahkah Anda merasa tidak berminat atau tidak bersemangat untuk melakukan kegiatan apapun?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag5,Ag 5,Interogatif,Seberapa kerap Anda merasa hampa atau kurang antusiasme terhadap hal-hal yang biasanya Anda nikmati?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag6,Ag 6,Interogatif,Apakah Anda mendapati diri Anda kurang termotivasi atau bergairah dalam menjalankan rutinitas?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag7,Ag 7,Interogatif,Seberapa sering Anda merasa tidak ada keinginan atau gairah untuk melakukan aktivitas apapun?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag8,Ag 8,Interogatif,Adakah waktu di mana Anda merasa kehilangan minat atau semangat dalam melakukan hal-hal yang Anda sukai?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag9,Ag 9,Interogatif,Berapa kali Anda merasakan ketiadaan minat atau kegairahan dalam beraktivitas?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag10,Ag 10,Interogatif,Apakah Anda sering merasa enggan atau tidak bersemangat untuk terlibat dalam kegiatan?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag11,Ag 11,Sinonim,Seberapa sering Anda merasa kurang berhasrat atau bersemangat dalam melakukan kegiatan apapun?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag12,Ag 12,Sinonim,Seberapa kerap Anda kehilangan ketertarikan atau antusiasme dalam melakukan sesuatu?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag13,Ag 13,Sinonim,"Dalam periode waktu tertentu, seberapa sering Anda merasa tidak tertarik atau tidak bersemangat untuk beraktivitas?",
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag14,Ag 14,Sinonim,Seberapa sering Anda mengalami ketiadaan gairah atau minat dalam melakukan berbagai hal?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag15,Ag 15,Sinonim,Seberapa sering Anda merasa tidak ada dorongan atau semangat untuk melakukan apapun?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag16,Ag 16,Sinonim,Seberapa kerap Anda merasa apatis atau kurang antusias dalam menjalani hari?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag17,Ag 17,Sinonim,"Dalam kurun waktu ini, seberapa sering Anda merasa kehilangan semangat atau minat terhadap aktivitas?",
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag18,Ag 18,Sinonim,Seberapa sering Anda merasa tidak ada kesenangan atau ketertarikan dalam melakukan hal apapun?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag19,Ag 19,Sinonim,Seberapa kerap Anda merasa kurang termotivasi atau tidak bersemangat dalam melakukan kegiatan?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag20,Ag 20,Sinonim,Seberapa sering Anda merasa kehilangan antusiasme atau minat dalam melakukan sesuatu?,
2,"Merasa murung, sedih, atau putus asa",Q2_Ag1,Ag 1,Interogatif,"Seberapa sering Anda merasa murung, sedih, atau putus asa?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag2,Ag 2,Interogatif,"Apakah Anda mengalami perasaan sedih, muram, atau kehilangan harapan?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag3,Ag 3,Interogatif,"Dalam beberapa waktu terakhir, seberapa sering Anda dilanda perasaan duka, kesedihan yang mendalam, atau keputusasaan?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag4,Ag 4,Interogatif,"Seberapa sering Anda merasa tertekan, nelangsa, atau tanpa harapan?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag5,Ag 5,Interogatif,"Pernahkah Anda merasakan kesedihan yang berkepanjangan, kemurungan, atau perasaan bahwa tidak ada jalan keluar?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag6,Ag 6,Interogatif,"Seberapa sering Anda mendapati diri Anda merasa sendu, galau, atau pesimis terhadap masa depan?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag7,Ag 7,Interogatif,"Apakah Anda sering merasa down, tidak bahagia, atau kehilangan semangat hidup?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag8,Ag 8,Interogatif,"Seberapa sering Anda diselimuti perasaan murung, melankolis, atau merasa segalanya sia-sia?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag9,Ag 9,Interogatif,"Dalam periode waktu ini, apakah Anda sering merasa pilu, berduka, atau kehilangan harapan?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag10,Ag 10,Interogatif,"Seberapa sering Anda merasa hati Anda berat, suasana hati buruk, atau seolah tidak ada lagi harapan?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag1,Ag 1,Interogatif,"Seberapa sering Anda merasa murung, sedih, atau putus asa selama dua minggu terakhir?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag2,Ag 2,Interogatif,"Dalam dua minggu terakhir, apakah Anda kerap kali merasa sedih, murung, atau seakan tidak ada harapan?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag3,Ag 3,Interogatif,"Apakah selama dua minggu terakhir Anda sering merasa tertekan, pilu, atau kehilangan semangat hidup?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag4,Ag 4,Interogatif,"Seberapa kerap Anda merasa berkabut suasana hati seperti murung, sedih, atau putus asa dalam jangka dua minggu terakhir?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag5,Ag 5,Interogatif,"Selama dua minggu terakhir, seberapa sering Anda merasakan kesedihan, kebuntuan emosional, atau putus asa?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag6,Ag 6,Interogatif,"Dalam dua minggu terakhir, apakah Anda kerap merasa sendu, murung, atau seakan hidup tidak berarti?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag7,Ag 7,Interogatif,"Apakah Anda sering merasa suram, pilu, atau seakan tidak ada harapan selama dua minggu terakhir?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag8,Ag 8,Interogatif,"Seberapa sering dalam dua minggu terakhir Anda mengalami kondisi murung, sedih, atau seolah-olah tidak ada jalan keluar?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag9,Ag 9,Interogatif,"Selama dua minggu terakhir, apakah Anda merasakan kesedihan yang mendalam atau rasa putus asa secara berulang?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag10,Ag 10,Interogatif,"Dalam dua minggu terakhir, seberapa sering Anda merasa bergumul dengan kesedihan, kemurungan, atau putus asa?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag1,Ag 1,Interogatif,"Seberapa sering Anda merasa muram, berduka, atau kehilangan harapan?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag2,Ag 2,Interogatif,"Apakah Anda mengalami perasaan sedih, tertekan, atau tanpa harapan?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag3,Ag 3,Interogatif,"Dalam frekuensi apa Anda merasa sendu, nelangsa, atau pesimis?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag4,Ag 4,Interogatif,"Pernahkah Anda merasa dirundung kesedihan, kemurungan, atau keputusasaan?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag5,Ag 5,Interogatif,"Seberapa kerap Anda merasa tidak bahagia, galau, atau merasa tidak ada jalan keluar?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag6,Ag 6,Interogatif,"Apakah Anda mendapati diri Anda sering merasa terpuruk, bersedih hati, atau tanpa asa?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag7,Ag 7,Interogatif,"Seberapa sering Anda merasa hati Anda kelabu, duka, atau merasa masa depan suram?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag8,Ag 8,Interogatif,"Adakah waktu di mana Anda merasa sangat sedih, murung, atau kehilangan semangat hidup?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag9,Ag 9,Interogatif,"Berapa kali Anda merasakan kesedihan yang mendalam, kemuraman, atau keputusasaan?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag10,Ag 10,Interogatif,"Apakah Anda sering merasa pilu, merana, atau tidak punya harapan lagi?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag11,Ag 11,Sinonim,"Seberapa sering Anda merasa suram, berduka cita, atau tanpa harapan?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag12,Ag 12,Sinonim,"Seberapa kerap Anda dilanda perasaan sedih, muram, atau pesimistis?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag13,Ag 13,Sinonim,"Dalam periode waktu tertentu, seberapa sering Anda merasa tertekan, sedih, atau putus harapan?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag14,Ag 14,Sinonim,"Seberapa sering Anda mengalami perasaan melankolis, sedih, atau kehilangan harapan?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag15,Ag 15,Sinonim,"Seberapa sering Anda merasa gundah, berduka, atau merasa tidak ada harapan?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag16,Ag 16,Sinonim,"Seberapa kerap Anda merasa terbebani kesedihan, kemurungan, atau keputusasaan?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag17,Ag 17,Sinonim,"Dalam kurun waktu ini, seberapa sering Anda merasa sedih, murung, atau putus asa?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag18,Ag 18,Sinonim,"Seberapa sering Anda merasa sangat tidak bahagia, tertekan, atau tanpa asa?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag19,Ag 19,Sinonim,"Seberapa kerap Anda merasa nelangsa, dirundung kesedihan, atau putus asa?",
2,"Merasa murung, sedih, atau putus asa",Q2_Ag20,Ag 20,Sinonim,"Seberapa sering Anda merasa sedih mendalam, murung, atau kehilangan harapan?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag1,Ag 1,Interogatif,"Seberapa sering Anda mengalami kesulitan untuk tidur, mudah terbangun di malam hari, atau justru tidur berlebihan?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag2,Ag 2,Interogatif,"Apakah Anda mempunyai masalah dengan pola tidur Anda, seperti susah tidur, sering terjaga, atau tidur lebih lama dari biasanya?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag3,Ag 3,Interogatif,"Dalam beberapa waktu terakhir, seberapa sering Anda mengalami gangguan tidur, misalnya insomnia, sering bangun, atau hipersomnia?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag4,Ag 4,Interogatif,"Seberapa sering Anda merasa sulit untuk terlelap, tidur tidak nyenyak, atau malah tidur dalam durasi yang sangat panjang?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag5,Ag 5,Interogatif,"Pernahkah Anda mengalami kesulitan memulai tidur, tetap tertidur, atau sebaliknya, merasa ingin tidur terus menerus?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag6,Ag 6,Interogatif,"Seberapa sering Anda mendapati diri Anda berjuang untuk tidur, sering terbangun, atau tidur jauh lebih banyak dari kebutuhan?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag7,Ag 7,Interogatif,"Apakah Anda mengalami perubahan dalam kebiasaan tidur Anda, seperti sulit tidur, tidur gelisah, atau tidur terlalu banyak?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag8,Ag 8,Interogatif,"Seberapa sering Anda merasa tidak bisa tidur, tidur terputus-putus, atau justru menghabiskan waktu lebih banyak untuk tidur?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag9,Ag 9,Interogatif,"Dalam periode waktu ini, apakah pola tidur Anda terganggu, dengan kesulitan tidur, sering terjaga, atau tidur berlebihan?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag10,Ag 10,Interogatif,"Seberapa sering Anda merasa kualitas tidur Anda buruk karena susah tidur, sering bangun, atau tidur terlalu pulas dan lama?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag1,Ag 1,Interogatif,"Seberapa sering Anda mengalami kesulitan tidur, sering terbangun, atau justru tidur berlebihan selama dua minggu terakhir?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag2,Ag 2,Interogatif,"Dalam dua minggu terakhir, apakah Anda kerap sulit memulai tidur, terbangun di malam hari, atau malah tidur terlalu lama?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag3,Ag 3,Interogatif,"Apakah selama dua minggu terakhir Anda sering merasa susah tidur, mudah terjaga di tengah malam, atau malah terlalu banyak tidur?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag4,Ag 4,Interogatif,"Seberapa kerap dalam dua minggu terakhir Anda menghadapi gangguan tidur berupa sulit tidur, terbangun terus-menerus, atau tidur berlebihan?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag5,Ag 5,Interogatif,"Selama dua minggu terakhir, seberapa sering Anda merasakan tidur terganggu—entah susah tidur, bangun terus, atau tidur berlebihan?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag6,Ag 6,Interogatif,"Dalam dua minggu terakhir, apakah Anda sering mengalami insomnia, terjaga di malam hari, atau sebaliknya tidur terlalu lama?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag7,Ag 7,Interogatif,"Apakah Anda merasa kerap tidak bisa tidur nyenyak, sering terjaga, atau malah terlalu banyak tidur dalam dua minggu terakhir?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag8,Ag 8,Interogatif,"Seberapa sering dalam dua minggu terakhir Anda mengalami pola tidur yang kacau, seperti susah tidur, terbangun terus, atau tidur berlebih?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag9,Ag 9,Interogatif,"Selama dua minggu terakhir, apakah Anda sering kesulitan mendapatkan tidur yang nyenyak—tidak bisa tidur, sering terbangun, atau terlalu banyak tidur?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag10,Ag 10,Interogatif,"Dalam dua minggu terakhir, seberapa sering Anda merasakan gangguan tidur berupa susah tidur, mudah terbangun, atau tidur terlalu lama?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag1,Ag 1,Interogatif,"Seberapa sering Anda mengalami kesulitan untuk tidur, sering terjaga, atau justru tidur berlebihan?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag2,Ag 2,Interogatif,"Apakah Anda mempunyai masalah tidur seperti susah terlelap, gampang bangun, atau tidur terlalu lama?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag3,Ag 3,Interogatif,"Dalam frekuensi apa Anda mengalami gangguan tidur, entah itu insomnia, sering terjaga, atau hipersomnia?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag4,Ag 4,Interogatif,"Pernahkah Anda merasa sulit untuk memulai tidur, mudah kaget bangun, atau tidur lebih lama dari biasanya?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag5,Ag 5,Interogatif,"Seberapa kerap Anda mendapati diri Anda susah tidur, sering terbangun di malam hari, atau tidur dalam durasi yang sangat panjang?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag6,Ag 6,Interogatif,"Apakah Anda mengalami perubahan pola tidur, seperti kesulitan terlelap, sering terjaga, atau tidur berlebihan?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag7,Ag 7,Interogatif,"Seberapa sering Anda merasa tidak bisa tidur nyenyak, mudah terbangun, atau malah tidur terlalu banyak?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag8,Ag 8,Interogatif,"Adakah waktu di mana Anda mengalami kesulitan untuk tidur, sering terbangun, atau tidur lebih dari kebutuhan?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag9,Ag 9,Interogatif,"Berapa kali Anda mengalami masalah tidur, seperti sukar tidur, sering terjaga, atau tidur berlebihan?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag10,Ag 10,Interogatif,"Apakah Anda sering merasa susah tidur, gampang terjaga dari tidur, atau tidur terlalu banyak?",
3,"Sulit tidur/mudah terbangun, atau terlalu banyak tidur",Q3_Ag11,Ag 11,Sinonim,"Seberapa sering Anda mengalami kesulitan untuk terlelap, sering terjaga di malam hari, atau tidur secara berlebihan?",
